0.312	1.48909
0.313	1.49136
0.314	1.49363
0.315	1.4959
0.316	1.49819
0.317	1.50047
0.318	1.50277
0.319	1.50506
0.32	1.50737
0.321	1.50968
0.322	1.51199
0.323	1.51431
0.324	1.51664
0.325	1.51897
0.326	1.52131
0.327	1.52365
0.328	1.526
0.329	1.52836
0.33	1.53072
0.331	1.53308
0.332	1.53546
0.333	1.53783
0.334	1.54022
0.335	1.5426
0.336	1.545
0.337	1.5474
0.338	1.5498
0.339	1.55222
0.34	1.55463
0.341	1.55706
0.342	1.55949
0.343	1.56192
0.344	1.56436
0.345	1.56681
0.346	1.56926
0.347	1.57172
0.348	1.57418
0.349	1.57665
0.35	1.57913
0.351	1.58161
0.352	1.5841
0.353	1.58659
0.354	1.58909
0.355	1.5916
0.356	1.59411
0.357	1.59663
0.358	1.59915
0.359	1.60168
0.36	1.60422
0.361	1.60676
0.362	1.6093
0.363	1.61186
0.364	1.61442
0.365	1.61698
0.366	1.61956
0.367	1.62213
0.368	1.62472
0.369	1.62731
0.37	1.62991
0.371	1.63251
0.372	1.63512
0.373	1.63773
0.374	1.64036
0.375	1.64298
0.376	1.64562
0.377	1.64826
0.378	1.6509
0.379	1.65356
0.38	1.65622
0.381	1.65888
0.382	1.66155
0.383	1.66423
0.384	1.66692
0.385	1.66961
0.386	1.67231
0.387	1.67501
0.388	1.67772
0.389	1.68044
0.39	1.68316
0.391	1.68589
0.392	1.68863
0.393	1.69137
0.394	1.69412
0.395	1.69687
0.396	1.69963
0.397	1.7024
0.398	1.70518
0.399	1.70796
0.4	1.71075
0.401	1.71354
0.402	1.71635
0.403	1.71915
0.404	1.72197
0.405	1.72479
0.406	1.72762
0.407	1.73045
0.408	1.7333
0.409	1.73614
0.41	1.739
0.411	1.74186
0.412	1.74473
0.413	1.74761
0.414	1.75049
0.415	1.75338
0.416	1.75627
0.417	1.75918
0.418	1.76209
0.419	1.765
0.42	1.76793
0.421	1.77086
0.422	1.77379
0.423	1.77674
0.424	1.77969
0.425	1.78265
0.426	1.78561
0.427	1.78859
0.428	1.79156
0.429	1.79455
0.43	1.79754
0.431	1.80055
0.432	1.80355
0.433	1.80657
0.434	1.80959
0.435	1.81262
0.436	1.81565
0.437	1.8187
0.438	1.82175
0.439	1.82481
0.44	1.82787
0.441	1.83094
0.442	1.83402
0.443	1.83711
0.444	1.8402
0.445	1.8433
0.446	1.84641
0.447	1.84953
0.448	1.85265
0.449	1.85578
0.45	1.85892
0.451	1.86207
0.452	1.86522
0.453	1.86838
0.454	1.87155
0.455	1.87472
0.456	1.8779
0.457	1.88109
0.458	1.88429
0.459	1.8875
0.46	1.89071
0.461	1.89393
0.462	1.89716
0.463	1.90039
0.464	1.90364
0.465	1.90689
0.466	1.91015
0.467	1.91341
0.468	1.91669
0.469	1.91997
0.47	1.92326
0.471	1.92656
0.472	1.92986
0.473	1.93317
0.474	1.93649
0.475	1.93982
0.476	1.94316
0.477	1.9465
0.478	1.94986
0.479	1.95322
0.48	1.95658
0.481	1.95996
0.482	1.96334
0.483	1.96673
0.484	1.97013
0.485	1.97354
0.486	1.97696
0.487	1.98038
0.488	1.98381
0.489	1.98725
0.49	1.9907
0.491	1.99416
